Attack,Threshold,Mode,Accuracy
df,0.1012285241192572,median_filter_2,0.9171140939597315
df,0.17273919672403634,median_filter_3,0.8910514541387025
df,0.11647926983474832,bit_depth_1&median_filter_2,0.9172259507829977
hop,0.10025968108034194,bit_depth_1,0.9044321329639889
hop,0.09009392003563432,bit_depth_2,0.8753462603878116
hop,0.1012285241192572,median_filter_2,0.9058171745152355
hop,0.17273919672403634,median_filter_3,0.8864265927977839
hop,0.11647926983474832,bit_depth_1&median_filter_2,0.9058171745152355
sta,0.10025968108034194,bit_depth_1,0.9125248508946322
sta,0.09009392003563432,bit_depth_2,0.9198144466534128
sta,0.1012285241192572,median_filter_2,0.9235696929533908
sta,0.17273919672403634,median_filter_3,0.8884470952065385
sta,0.11647926983474832,bit_depth_1&median_filter_2,0.921912966644577
sa,0.10025968108034194,bit_depth_1,0.9033864541832669
sa,0.09009392003563432,bit_depth_2,0.9023904382470119
sa,0.1012285241192572,median_filter_2,0.897410358565737
sa,0.17273919672403634,median_filter_3,0.8914342629482072
sa,0.11647926983474832,bit_depth_1&median_filter_2,0.8904382470119522
