Attack,Threshold,Accuracy
fgsm_0.125,0.070403315,0.7134146341463414
fgsm_0.25,0.070403315,0.9491430700447094
fgsm_0.3125,0.070403315,0.962992125984252
bim_0.125,0.070403315,0.7848232848232848
bim_0.25,0.070403315,0.9592175914088469
bim_0.3125,0.070403315,0.9601465364120781
pgd1_10,0.070403315,0.740174672489083
pgd1_15,0.070403315,0.8233137829912024
pgd1_20,0.070403315,0.8750809061488674
pgd2_1,0.070403315,0.740924092409241
pgd2_1.5,0.070403315,0.8578629032258065
pgd2_2,0.070403315,0.8984308736217134
pgdi_0.125,0.070403315,0.7890466531440162
pgdi_0.25,0.070403315,0.9592696629213483
cwi,0.070403315,0.6712328767123288
df,0.070403315,0.9041956472963877
hop,0.070403315,0.8835978835978836
sta,0.070403315,0.8904444444444445
sa,0.070403315,0.8868471953578336
